label,base_clone,network_1,network_2
TAG105A-01,TAG105A-01,RED-1,BLUE-1
TAG105A-02,TAG105A-01,RED-2,BLUE-2
TAG105A-03,TAG105A-01,RED-1,BLUE-1
TAG105A-04,TAG105A-01,RED-2,BLUE-2
TAG105A-05,TAG105A-01,RED-1,BLUE-1
TAG105A-06,TAG105A-01,RED-2,BLUE-2
TAG105A-07,TAG105A-01,RED-1,BLUE-1
TAG105A-08,TAG105A-01,RED-2,BLUE-2
TAG105A-09,TAG105A-01,RED-1,BLUE-1
TAG105A-10,TAG105A-01,RED-2,BLUE-2
TAG105A-11,TAG105A-01,RED-1,BLUE-1
TAG105A-12,TAG105A-01,RED-2,BLUE-2
TBG105B-01,TAG105A-01,RED-1,BLUE-1
TBG105B-02,TAG105A-01,RED-2,BLUE-2
TBG105B-03,TAG105A-01,RED-1,BLUE-1
TBG105B-04,TAG105A-01,RED-2,BLUE-2
TBG105B-05,TAG105A-01,RED-1,BLUE-1
TBG105B-06,TAG105A-01,RED-2,BLUE-2
TBG105B-07,TAG105A-01,RED-1,BLUE-1
TBG105B-08,TAG105A-01,RED-2,BLUE-2
TBG105B-09,TAG105A-01,RED-1,BLUE-1
TBG105B-10,TAG105A-01,RED-2,BLUE-2
TBG105B-11,TAG105A-01,RED-1,BLUE-1
TBG105B-12,TAG105A-01,RED-2,BLUE-2
TAG105C-01,TAG105A-01,RED-1,BLUE-1
TAG105C-02,TAG105A-01,RED-2,BLUE-2
TAG105C-03,TAG105A-01,RED-1,BLUE-1
TAG105C-04,TAG105A-01,RED-2,BLUE-2
TAG105C-05,TAG105A-01,RED-1,BLUE-1
TAG105C-06,TAG105A-01,RED-2,BLUE-2
TAG105C-07,TAG105A-01,RED-1,BLUE-1
TAG105C-08,TAG105A-01,RED-2,BLUE-2
TAG105C-09,TAG105A-01,RED-1,BLUE-1
TAG105C-10,TAG105A-01,RED-2,BLUE-2
TAG105C-11,TAG105A-01,RED-1,BLUE-1
TAG105C-12,TAG105A-01,RED-2,BLUE-2
TAG105D-01,TAG105A-01,RED-1,BLUE-1
TAG105D-02,TAG105A-01,RED-2,BLUE-2
TAG105D-03,TAG105A-01,RED-1,BLUE-1
TAG105D-04,TAG105A-01,RED-2,BLUE-2
TAG105D-05,TAG105A-01,RED-1,BLUE-1
TAG105D-06,TAG105A-01,RED-2,BLUE-2
TAG105D-07,TAG105A-01,RED-1,BLUE-1
TAG105D-08,TAG105A-01,RED-2,BLUE-2
TAG105D-09,TAG105A-01,RED-1,BLUE-1
TAG105D-10,TAG105A-01,RED-2,BLUE-2
TAG105D-11,TAG105A-01,RED-1,BLUE-1
TAG105D-12,TAG105A-01,RED-2,BLUE-2
TAG106A-01,TAG105A-01,RED-1,BLUE-1
TAG106A-02,TAG105A-01,RED-2,BLUE-2
TAG106A-03,TAG105A-01,RED-1,BLUE-1
TAG106A-04,TAG105A-01,RED-2,BLUE-2
TAG106A-05,TAG105A-01,RED-1,BLUE-1
TAG106A-06,TAG105A-01,RED-2,BLUE-2
TAG106A-07,TAG105A-01,RED-1,BLUE-1
TAG106A-08,TAG105A-01,RED-2,BLUE-2
TAG106A-09,TAG105A-01,RED-1,BLUE-1
TAG106A-10,TAG105A-01,RED-2,BLUE-2
TAG106A-11,TAG105A-01,RED-1,BLUE-1
TAG106A-12,TAG105A-01,RED-2,BLUE-2
TBG106B-01,TAG105A-01,RED-1,BLUE-1
TBG106B-02,TAG105A-01,RED-2,BLUE-2
TBG106B-03,TAG105A-01,RED-1,BLUE-1
TBG106B-04,TAG105A-01,RED-2,BLUE-2
TBG106B-05,TAG105A-01,RED-1,BLUE-1
TBG106B-06,TAG105A-01,RED-2,BLUE-2
TBG106B-07,TAG105A-01,RED-1,BLUE-1
TBG106B-08,TAG105A-01,RED-2,BLUE-2
TBG106B-09,TAG105A-01,RED-1,BLUE-1
TBG106B-10,TAG105A-01,RED-2,BLUE-2
TBG106B-11,TAG105A-01,RED-1,BLUE-1
TBG106B-12,TAG105A-01,RED-2,BLUE-2
TAG106C-01,TAG105A-01,RED-1,BLUE-1
TAG106C-02,TAG105A-01,RED-2,BLUE-2
TAG106C-03,TAG105A-01,RED-1,BLUE-1
TAG106C-04,TAG105A-01,RED-2,BLUE-2
TAG106C-05,TAG105A-01,RED-1,BLUE-1
TAG106C-06,TAG105A-01,RED-2,BLUE-2
TAG106C-07,TAG105A-01,RED-1,BLUE-1
TAG106C-08,TAG105A-01,RED-2,BLUE-2
TAG106C-09,TAG105A-01,RED-1,BLUE-1
TAG106C-10,TAG105A-01,RED-2,BLUE-2
TAG106C-11,TAG105A-01,RED-1,BLUE-1
TAG106C-12,TAG105A-01,RED-2,BLUE-2
TAG106D-01,TAG105A-01,RED-1,BLUE-1
TAG106D-02,TAG105A-01,RED-2,BLUE-2
TAG106D-03,TAG105A-01,RED-1,BLUE-1
TAG106D-04,TAG105A-01,RED-2,BLUE-2
TAG106D-05,TAG105A-01,RED-1,BLUE-1
TAG106D-06,TAG105A-01,RED-2,BLUE-2
TAG106D-07,TAG105A-01,RED-1,BLUE-1
TAG106D-08,TAG105A-01,RED-2,BLUE-2
TAG106D-09,TAG105A-01,RED-1,BLUE-1
TAG106D-10,TAG105A-01,RED-2,BLUE-2
TAG106D-11,TAG105A-01,RED-1,BLUE-1
TAG106D-12,TAG105A-01,RED-2,BLUE-2